,Name,Symbol,Market Cap,Price,Circulating Supply,Volume
0,Bitcoin,BTC,"$1,054,724,231,638","$56,445.17","18,685,818","$97,129,269,434"
1,Ethereum,ETH,"$257,281,204,078","$2,227.07","115,524,748","$50,357,300,376"
2,Binance Coin,BNB,"$73,084,824,324",$476.33,"153,432,897","$6,644,068,337"
3,XRP,XRP,"$63,551,166,371",$1.40,"45,404,028,640","$22,077,607,975"
4,Tether,USDT,"$48,068,931,879",$0.9999,"48,075,190,515","$223,297,545,140"
5,Dogecoin,DOGE,"$42,490,132,123",$0.3288,"129,237,971,710","$23,442,832,278"
6,Cardano,ADA,"$40,964,494,523",$1.28,"31,948,309,441","$7,400,230,605"
7,Polkadot,DOT,"$35,122,211,341",$37.73,"930,989,386","$5,961,417,490"
8,Litecoin,LTC,"$18,231,983,042",$273.13,"66,752,415","$13,208,082,532"
9,Bitcoin Cash,BCH,"$17,694,913,933",$945.62,"18,712,513","$11,368,334,990"
10,Uniswap,UNI,"$16,816,595,724",$32.13,"523,385,460","$1,444,760,492"
11,Chainlink,LINK,"$16,261,070,471",$38.81,"419,009,556","$4,365,274,734"
12,VeChain,VET,"$15,877,562,301",$0.2469,"64,315,576,989","$4,500,775,758"
13,Stellar,XLM,"$12,578,600,510",$0.5497,"22,881,768,129","$2,628,415,628"
14,THETA,THETA,"$11,776,395,272",$11.78,"1,000,000,000","$1,077,133,393"
15,USD Coin,USDC,"$11,306,693,500",$1,"11,306,949,961","$3,832,496,108"
16,Filecoin,FIL,"$10,636,819,621",$157.90,"67,362,200","$3,986,907,082"
17,TRON,TRX,"$10,247,353,401",$0.143,"71,659,657,369","$7,453,403,991"
18,Wrapped Bitcoin,WBTC,"$8,665,257,939","$56,419.06","153,587","$314,704,217"
19,Solana,SOL,"$8,425,922,869",$31.20,"270,018,859","$1,038,225,355"
20,Neo,NEO,"$7,481,009,939",$106.06,"70,538,831","$4,483,943,035"
21,EOS,EOS,"$6,807,226,346",$7.15,"952,649,757","$7,030,290,336"
22,IOTA,MIOTA,"$6,306,500,191",$2.27,"2,779,530,283","$550,771,140"
23,Klaytn,KLAY,"$6,262,305,474",$2.55,"2,455,689,081","$136,936,466"
24,Bitcoin SV,BSV,"$6,235,416,097",$333.28,"18,709,183","$4,072,615,350"
25,Monero,XMR,"$5,988,101,836",$334.72,"17,889,962","$1,027,078,001"
26,Binance USD,BUSD,"$5,403,124,359",$1.00,"5,402,890,536","$9,691,874,323"
27,BitTorrent,BTT,"$5,321,109,556",$0.008063,"659,952,625,000","$2,538,374,563"
28,Crypto.com Coin,CRO,"$5,236,702,493",$0.2073,"25,263,013,692","$185,274,096"
29,Terra,LUNA,"$5,101,596,543",$13.44,"379,537,693","$546,448,621"
30,Tezos,XTZ,"$4,825,933,039",$6.29,"766,867,107","$964,253,642"
31,Aave,AAVE,"$4,737,425,886",$379.35,"12,488,212","$1,012,288,902"
32,FTX Token,FTT,"$4,728,839,008",$50.12,"94,346,958","$292,981,689"
33,Cosmos,ATOM,"$4,526,449,257",$21.48,"210,690,440","$1,337,977,032"
34,Ethereum Classic,ETC,"$4,372,348,447",$37.59,"116,313,299","$6,889,128,219"
35,Algorand,ALGO,"$4,157,950,319",$1.46,"2,852,986,488","$874,465,307"
36,Avalanche,AVAX,"$3,735,608,312",$29.05,"128,609,468","$578,367,318"
37,THORChain,RUNE,"$3,743,986,255",$16.11,"232,455,760","$311,591,200"
38,NEM,XEM,"$3,642,706,466",$0.4047,"8,999,999,999","$583,273,010"
39,Dai,DAI,"$3,563,066,078",$1.00,"3,562,843,338","$731,268,487"
40,Kusama,KSM,"$3,481,635,478",$411.05,"8,470,098","$428,373,239"
41,PancakeSwap,CAKE,"$3,437,425,349",$21.89,"157,012,708","$808,496,102"
42,Elrond,EGLD,"$3,295,286,866",$190.31,"17,315,373","$421,180,783"
43,Maker,MKR,"$3,212,888,914","$3,228.26","995,239","$302,880,446"
44,Dash,DASH,"$3,123,505,245",$309.73,"10,084,502","$2,474,173,888"
45,Huobi Token,HT,"$3,085,244,842",$17.32,"178,105,407","$961,888,830"
46,Bitcoin BEP2,BTCB,"$3,067,059,424","$56,175.28","54,598","$76,455,721"
47,Chiliz,CHZ,"$3,002,381,452",$0.5374,"5,586,355,378","$1,614,762,140"
48,Zcash,ZEC,"$2,929,495,544",$252.89,"11,584,144","$2,224,190,557"
49,Holo,HOT,"$2,908,403,520",$0.01719,"169,158,310,031","$552,339,572"
50,Decred,DCR,"$2,897,623,623",$225.76,"12,835,066","$51,794,273"
51,Hedera Hashgraph,HBAR,"$2,497,572,047",$0.3155,"7,917,182,327","$473,520,255"
52,Compound,COMP,"$2,464,380,622",$485.52,"5,075,799","$575,129,451"
53,Siacoin,SC,"$2,395,427,124",$0.05038,"47,548,372,992","$1,143,057,763"
54,Enjin Coin,ENJ,"$2,256,059,500",$2.70,"834,313,757","$478,834,497"
55,Zilliqa,ZIL,"$2,228,485,504",$0.1992,"11,185,649,565","$368,054,817"
56,Stacks,STX,"$2,176,262,220",$2.00,"1,088,011,006","$41,404,058"
57,UNUS SED LEO,LEO,"$2,161,354,449",$2.16,"999,498,893","$4,798,980"
58,The Graph,GRT,"$2,120,884,823",$1.70,"1,245,666,867","$612,946,936"
59,Decentraland,MANA,"$2,112,379,238",$1.34,"1,578,089,513","$820,849,411"
60,Synthetix,SNX,"$2,065,888,114",$17.99,"114,841,533","$280,650,015"
61,Nexo,NEXO,"$1,973,019,049",$3.52,"560,000,011","$18,465,405"
62,Basic Attention Token,BAT,"$1,970,254,609",$1.32,"1,492,816,441","$850,658,568"
63,UMA,UMA,"$1,908,403,937",$31.77,"60,078,660","$225,459,811"
64,DigiByte,DGB,"$1,892,172,601",$0.133,"14,230,045,700","$361,912,052"
65,yearn.finance,YFI,"$1,889,586,926","$51,578.82","36,635","$729,805,344"
66,Polygon,MATIC,"$1,861,848,979",$0.3588,"5,188,388,130","$395,908,324"
67,NEAR Protocol,NEAR,"$1,827,722,793",$5.18,"352,983,698","$199,521,023"
68,SushiSwap,SUSHI,"$1,816,143,126",$14.27,"127,244,443","$1,218,290,174"
69,TerraUSD,UST,"$1,802,872,223",$0.9967,"1,808,792,396","$78,215,303"
70,Ontology,ONT,"$1,724,195,074",$2.13,"809,807,991","$1,344,909,330"
71,Qtum,QTUM,"$1,699,823,084",$17.29,"98,295,649","$1,560,322,107"
72,Theta Fuel,TFUEL,"$1,705,579,665",$0.3236,"5,270,590,400","$57,725,537"
73,Ravencoin,RVN,"$1,678,146,931",$0.1955,"8,585,240,000","$660,190,391"
74,Nano,NANO,"$1,648,210,553",$12.37,"133,248,297","$2,775,466,525"
75,Bitcoin Gold,BTG,"$1,633,113,813",$93.25,"17,513,924","$78,774,268"
76,Celsius,CEL,"$1,512,692,934",$6.33,"238,863,520","$18,436,318"
77,Waves,WAVES,"$1,416,964,589",$13.51,"104,878,438","$167,149,476"
78,ICON,ICX,"$1,393,192,484",$2.33,"597,948,826","$185,693,104"
79,0x,ZRX,"$1,384,418,254",$1.77,"781,547,659","$357,583,723"
80,IOST,IOST,"$1,268,434,447",$0.07747,"16,374,175,762","$1,357,137,770"
81,Bancor,BNT,"$1,248,476,944",$7.01,"178,148,999","$217,911,401"
82,Reserve Rights,RSR,"$1,235,916,860",$0.09391,"13,159,999,000","$261,931,973"
83,Harmony,ONE,"$1,220,729,837",$0.1298,"9,407,813,079","$222,418,295"
84,Horizen,ZEN,"$1,201,765,995",$109.37,"10,988,513","$253,818,938"
85,Ankr,ANKR,"$1,174,483,643",$0.1679,"6,996,232,711","$264,484,725"
86,Helium,HNT,"$1,169,370,836",$14.77,"79,183,888","$47,812,013"
87,OMG Network,OMG,"$1,169,147,068",$8.34,"140,245,398","$762,903,408"
88,Revain,REV,"$1,098,815,197",$0.01292,"85,061,485,690","$4,403,673"
89,Flow,FLOW,"$1,095,881,094",$32.26,"33,967,817","$110,420,889"
90,Pundi X[old],NPXS,"$1,069,472,245",$0.004313,"247,963,400,338","$1,870,031"
91,Fantom,FTM,"$1,061,052,318",$0.4169,"2,545,006,273","$231,459,142"
92,KuCoin Token,KCS,"$1,043,850,620",$13.03,"80,118,638","$131,375,173"
93,OKB,OKB,"$998,126,024",$16.64,"60,000,000","$529,701,360"
94,SwissBorg,CHSB,"$976,973,814",$0.977,"1,000,000,000","$7,540,078"
95,Ren,REN,"$950,861,740",$0.9536,"997,163,051","$345,476,380"
96,Dent,DENT,"$949,843,639",$0.0101,"94,033,927,361","$248,932,127"
97,Verge,XVG,"$939,207,113",$0.05711,"16,445,924,249","$160,852,957"
98,Voyager Token,VGX,"$929,261,640",$4.18,"222,295,208","$10,889,245"
99,Curve DAO Token,CRV,"$883,886,133",$3.23,"273,675,529","$693,546,860"
100,Paxos Standard,PAX,"$877,497,837",$0.9985,"878,839,538","$121,486,625"
101,BTMX,BTMX,"$847,811,752",$1.13,"749,317,256","$9,940,782"
102,1inch,1INCH,"$826,377,623",$5.27,"156,671,623","$368,420,786"
103,Conflux Network,CFX,"$822,234,586",$0.9988,"823,190,865","$34,469,315"
104,Celo,CELO,"$819,347,068",$4.00,"204,757,368","$25,975,179"
105,Arweave,AR,"$816,134,663",$24.44,"33,394,701","$26,715,128"
106,WazirX,WRX,"$797,029,264",$3.02,"263,763,596","$112,374,410"
107,Status,SNT,"$786,756,139",$0.2267,"3,470,483,788","$74,204,062"
108,VeThor Token,VTHO,"$772,440,787",$0.02243,"34,439,178,070","$186,092,128"
109,Loopring,LRC,"$758,706,267",$0.6205,"1,222,785,255","$239,438,423"
110,Lisk,LSK,"$721,940,153",$5.65,"127,820,508","$48,630,474"
111,Bitcoin Standard Hashrate Token,BTCST,"$717,276,068",$67.60,"10,610,486","$86,102,583"
112,renBTC,RENBTC,"$707,166,126","$56,185.56","12,586","$5,304,783"
113,HUSD,HUSD,"$700,029,893",$0.9982,"701,305,405","$1,061,597,748"
114,Venus,XVS,"$691,765,001",$73.00,"9,475,901","$128,733,778"
115,Nervos Network,CKB,"$652,684,636",$0.02639,"24,733,009,380","$42,336,447"
116,Ocean Protocol,OCEAN,"$613,225,433",$1.44,"426,026,837","$75,957,220"
117,Kyber Network,KNC,"$609,526,820",$2.97,"205,045,092","$139,119,656"
118,Storj,STORJ,"$594,432,677",$2.07,"287,149,025","$173,447,162"
119,Mdex,MDX,"$592,728,007",$3.10,"191,305,710","$323,524,677"
120,Livepeer,LPT,"$574,436,476",$27.14,"21,164,655","$25,845,115"
121,Origin Protocol,OGN,"$550,639,699",$1.95,"282,875,718","$216,568,837"
122,Energy Web Token,EWT,"$543,518,732",$18.08,"30,062,138","$6,630,664"
123,ZKSwap,ZKS,"$537,437,279",$2.72,"197,440,000","$53,665,898"
124,MCO,MCO,"$533,424,569",$33.77,"15,793,831","$11,726,515"
125,Bitcoin Diamond,BCD,"$514,410,554",$2.76,"186,492,898","$18,333,132"
126,Augur,REP,"$488,322,908",$44.39,"11,000,000","$46,052,870"
127,Quant,QNT,"$490,694,273",$40.64,"12,072,738","$17,012,674"
128,MaidSafeCoin,MAID,"$483,942,533",$1.07,"452,552,412","$1,465,658"
129,Golem,GLM,"$482,116,642",$0.4821,"1,000,000,000","$10,515,859"
130,StormX,STMX,"$474,073,880",$0.05635,"8,412,333,047","$65,324,965"
131,WINk,WIN,"$439,227,765",$0.001401,"313,607,571,387","$420,100,634"
132,SKALE Network,SKL,"$433,248,857",$0.656,"660,416,667","$233,221,080"
133,Reef,REEF,"$422,808,273",$0.03752,"11,268,898,338","$222,910,884"
134,DODO,DODO,"$419,486,035",$3.79,"110,551,965","$115,162,340"
135,IoTeX,IOTX,"$417,074,947",$0.04325,"9,644,304,442","$70,402,899"
136,Balancer,BAL,"$404,135,280",$58.20,"6,943,831","$178,799,319"
137,Fetch.ai,FET,"$401,453,101",$0.5381,"746,113,681","$40,696,667"
138,SingularityNET,AGI,"$395,755,383",$0.4553,"869,162,203","$8,504,946"
139,The Sandbox,SAND,"$391,090,240",$0.5694,"686,821,749","$114,013,973"
140,Telcoin,TEL,"$389,667,823",$0.0076,"51,270,110,195","$13,442,629"
141,Steem,STEEM,"$388,682,276",$1.05,"370,190,732","$10,147,496"
142,FUNToken,FUN,"$387,592,860",$0.03763,"10,298,879,189","$18,646,995"
143,NKN,NKN,"$385,155,770",$0.6599,"583,666,666","$125,528,396"
144,Ardor,ARDR,"$384,553,903",$0.3849,"998,999,495","$11,064,402"
145,Civic,CVC,"$382,785,152",$0.5713,"670,000,000","$119,312,869"
146,MVL,MVL,"$375,447,182",$0.02946,"12,745,530,263","$107,653"
147,Wootrade,WOO,"$368,178,538",$0.9786,"376,235,705","$58,077,424"
148,Komodo,KMD,"$367,941,413",$2.94,"125,350,255","$18,005,342"
149,Alpha Finance Lab,ALPHA,"$364,301,523",$1.46,"250,153,035","$176,311,919"
150,Numeraire,NMR,"$364,326,098",$74.18,"4,911,507","$79,561,152"
151,BitShares,BTS,"$359,070,687",$0.1199,"2,994,880,000","$110,633,048"
152,Velas,VLX,"$357,782,128",$0.1684,"2,124,380,663","$9,208,567"
153,Swipe,SXP,"$351,904,522",$4.10,"85,736,975","$814,209,759"
154,Populous,PPT,"$349,754,511",$6.57,"53,252,246","$22,581,696"
155,Band Protocol,BAND,"$349,213,225",$17.04,"20,494,033","$419,383,903"
156,JUST,JST,"$345,833,548",$0.153,"2,260,326,706","$234,644,732"
157,Aragon,ANT,"$342,505,073",$8.65,"39,609,523","$131,121,681"
158,Orbs,ORBS,"$340,253,617",$0.1526,"2,229,950,518","$618,735"
159,Kin,KIN,"$340,011,483",$0.000224,"1,518,114,145,968","$7,329,352"
160,Badger DAO,BADGER,"$337,742,957",$39.25,"8,604,505","$50,781,754"
161,Celer Network,CELR,"$334,097,856",$0.06067,"5,506,609,697","$87,902,519"
162,MediBloc,MED,"$333,183,734",$0.1217,"2,738,131,491","$532,745"
163,TrustSwap,SWAP,"$332,213,707",$4.06,"81,773,706","$6,210,372"
164,WAX,WAXP,"$327,526,591",$0.2104,"1,556,858,382","$5,819,582"
165,TrueUSD,TUSD,"$323,396,259",$0.9983,"323,961,748","$205,308,824"
166,Kava.io,KAVA,"$323,323,429",$5.52,"58,524,186","$130,023,955"
167,Wanchain,WAN,"$324,785,436",$1.92,"169,028,581","$25,231,872"
168,Unibright,UBT,"$313,519,832",$2.09,"149,999,999","$6,372,057"
169,Haven Protocol,XHV,"$309,733,637",$22.23,"13,930,161","$2,724,328"
170,Bytom,BTM,"$306,086,848",$0.215,"1,423,655,257","$213,745,205"
171,Serum,SRM,"$301,958,564",$6.04,"50,000,000","$313,245,895"
172,Stratis,STRAX,"$300,039,348",$2.30,"130,362,668","$13,578,634"
173,Everipedia,IQ,"$289,639,434",$0.02893,"10,013,164,918","$22,518,980"
174,CyberVein,CVT,"$285,918,916",$0.2696,"1,060,404,496","$8,131,323"
175,Syscoin,SYS,"$274,267,212",$0.4492,"610,590,084","$7,950,682"
176,Ark,ARK,"$275,159,078",$2.14,"128,590,247","$6,858,969"
177,Utrust,UTK,"$264,145,818",$0.587,"450,000,000","$29,638,656"
178,Orchid,OXT,"$264,045,543",$0.7183,"367,584,352","$69,087,366"
179,Travala.com,AVA,"$260,801,018",$5.22,"49,971,963","$23,002,809"
180,Oasis Network,ROSE,"$258,867,487",$0.1726,"1,500,000,000","$32,795,589"
181,GateToken,GT,"$258,046,862",$3.39,"76,130,567","$25,214,476"
182,Secret,SCRT,"$255,744,018",$3.67,"69,703,477","$4,689,544"
183,Gnosis,GNO,"$252,562,540",$167.86,"1,504,587","$2,318,079"
184,aelf,ELF,"$250,433,781",$0.46,"544,480,200","$53,576,498"
185,Ampleforth,AMPL,"$248,680,407",$1.17,"212,230,787","$12,601,610"
186,Metadium,META,"$239,928,699",$0.1926,"1,245,430,304","$336,321"
187,Metal,MTL,"$239,707,648",$3.65,"65,588,845","$42,522,051"
188,Handshake,HNS,"$236,025,101",$0.6309,"374,078,953","$1,360,936"
189,RSK Infrastructure Framework,RIF,"$236,259,435",$0.3277,"721,033,343","$9,067,367"
190,Polymath,POLY,"$233,130,299",$0.382,"610,331,538","$5,099,493"
191,OriginTrail,TRAC,"$232,060,686",$0.6501,"356,946,526","$2,549,928"
192,Uquid Coin,UQC,"$225,555,351",$22.56,"10,000,000","$27,219,230"
193,QuarkChain,QKC,"$224,548,327",$0.03509,"6,399,906,497","$10,435,886"
194,MonaCoin,MONA,"$221,061,961",$3.36,"65,729,675","$102,966,144"
195,SUN,SUN,"$218,765,091",$44.00,"4,972,136","$132,147,851"
196,Syntropy,NOIA,"$217,972,169",$0.5921,"368,119,987","$2,876,900"
197,TomoChain,TOMO,"$217,136,648",$2.68,"81,110,375","$46,020,595"
198,ZB Token,ZB,"$214,046,092",$0.462,"463,288,810","$84,204,671"
199,NuCypher,NU,"$213,487,076",$0.5229,"408,250,000","$35,385,051"
